By what initials was Franklin Roosevelt better known?sdf, Wrong
Which number president was Franklin Roosevelt?asdf, Wrong
Which state was Franklin Roosevelt born in?asdf, Wrong
In which year did Roosevelt become Governor of New York?asdf, Wrong
What was the name of Franklin Roosevelt's wife?asdf, Wrong
How many children did Franklin Roosevelt have?asd, Wrong
From which university did Franklin Roosevelt graduate with an A.B in history?f, Wrong
What was the first name of Franklin Roosevelt's 5th cousin, who was also President?asdf, Wrong
Which disease is believed to be the causes of Franklin Roosevelt's paralysis?asdf, Wrong
At what age did Franklin Roosevelt die?asdf, Wrong

